,,,,
,,52593 - ωξω - δρλξι ξηιψιν λμμι,,
,,,,
ξρ' ρτχ ωιχεν,"ξρτψ ρτχ ξωδα""θ","ξχ""θ τψιθ",δΰν αϊεχσ,λξδ ρτχιν μλμ ξχθ
000731,0083854403,010769,λο,191
001243,0083346871,010769,λο,191
001255,0083131059,010769,λο,191
001268,0083032505,010769,λο,191
001270,0083345071,010769,λο,191
001274,0083348331,010769,λο,191
001275,0083378643,010769,λο,191
001276,0083341898,010769,λο,191
001277,0083353240,010769,λο,191
001283,0083632338,010769,λο,191
001292,0083612736,010769,λο,191
001293,0083354073,010769,λο,191
001294,0083376878,010769,λο,191
001295,0083365079,010769,λο,191
001297,0083630258,010769,λο,191
001314,0083039351,010769,λο,191
001316,0083049855,010769,λο,191
001323,0083605631,010769,λο,191
001325,0083709037,010769,λο,191
001327,0083378098,010769,λο,191
001343,0083379922,010769,λο,191
001344,0083603883,010769,λο,191
001355,0083610391,010769,λο,191
001361,0083615499,010769,λο,191
001374,0083715331,010769,λο,191
001386,0083622230,010769,λο,191
001399,0083624335,010769,λο,191
001405,0083625662,010769,λο,191
001419,0083136033,010769,λο,191
001430,0083610805,010769,λο,191
001452,0083634060,010769,λο,191
001610,0083642444,010769,λο,191
001625,0083642170,010769,λο,191
001626,0011008197,010769,λο,191
001629,0083646205,010769,λο,191
001718,0083643509,010769,λο,191
001719,0083644291,010769,λο,191
001755,0083657863,010769,λο,191
001767,0083640273,010769,λο,191
001778,0083639671,010769,λο,191
001788,0083643178,010769,λο,191
001791,0083636875,010769,λο,191
001949,0083611696,010769,λο,191
001952,0083830338,010769,λο,191
001955,0083614419,010769,λο,191
001956,0083701182,010769,λο,191
001983,0083659042,010769,λο,191
002030,0083999257,010769,λο,191
002144,0083812369,010769,λο,191
002171,0083631710,010769,λο,191
002210,0083767399,010769,λο,191
002214,0083611787,010769,λο,191
002230,0083738374,010769,λο,191
002243,0083625241,010769,λο,191
002246,0083716644,010769,λο,191
002359,0083379773,010769,λο,191
002373,0083662749,010769,λο,191
002380,0083663374,010769,λο,191
002461,0083713567,010769,λο,191
002632,0083666989,010769,λο,191
002724,0083336054,010769,λο,191
002728,0083711561,010769,λο,191
002730,0083649779,010769,λο,191
002737,0011002714,010769,λο,191
002739,0083649340,010769,λο,191
